Company_Name,First_Name,Email,Website,Phone,GMB_Rating,Review_Count,GMB_Claimed,Has_Website,SSL_Active,Load_Time_Ms,Is_Mobile_Responsive,Has_Schema,Broken_Links_Count,Photo_Count,GMB_Description,GMB_Has_Hours,GMB_Hours_Updated,Main_Competitor,Missing_Service,Icebreaker,SEO_Gap
"Moviltraccion chapa y pintura, Puente Genil - Servicios El Motor",propietario,"",https://servicios.motor.elpais.com/serv/moviltraccion-chapa-pintura-puente-genil-4891968/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
moviltraccion - Talleres de chapa y pintura,propietario,"",https://www.qdq.com/moviltraccion-829685,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Chapa y pintura Laredo | Puente-Genil,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
"Los 15 mejores pintores en Puente Genil, Andalucía | Houzz",propietario,"",https://www.houzz.es/professionals/pintores-y-empresas-de-decoracion-de-paredes/puente-genil-51-es-probr0-bo~t_17778~r_101168809,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Guía de precios: Pintura de Interior en Puente Genil 【2026】,propietario,"",https://pintorgo.es/precios-pintores/cordoba/puente-genil/alisar-paredes,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
"Multipinturas - Puente Genil - Calle Aguilar, 146 ...",propietario,"",https://www.paginasamarillas.es/f/puente-genil/multipinturas_160108718_000000001.html,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
pintor Cordoba - Puente Genil,propietario,"",https://pintorencordoba.com/pintor-cordoba-puente-genil/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Quitar gotelé y pintar en Puente Genil | Expertos locales,propietario,"",https://www.cronoshare.com/servicios/presupuesto-quitar-gotele-pintar/cordoba/puente-genil,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Pintor en Puente Genil - Reparaciones en el hogar,propietario,"",https://reparacionesenelhogar.com/pintor/pintor-en-puente-genil/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Multipinturas (@multipinturas_) · Puente-Genil,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
"Empresas de ""Fabrica Pinturas"" en Puente Genil Córdoba",propietario,"",https://empresite.eleconomista.es/Actividad/FABRICA-PINTURAS/localidad/PUENTE-GENIL-CORDOBA/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
FRANCISCO JOAQUIN AVILES CABEZAS - Puente Genil,propietario,"",https://www.paginasamarillas.es/f/puente-genil/francisco-joaquin-aviles-cabezas_218424323_000000001.html,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Cerragenil -lacado Con Pintura En Polvo-corte De Chapa ...,propietario,"",https://www.comga.es/carpinteria-metalica-y-de-aluminio/puente-genil/cerragenil-lacado-con-pintura-en-polvo-corte-de-chapa-plasma-cerrajero-24-horas-puente-genil_27600.php,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Las 7 mejores Empresas y Tiendas de Pintura en Puente Genil,propietario,"",https://puente-genil.infoisinfo.es/busqueda/pintura,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Pinturas Gamito | Córdoba,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
Talleres de chapa y pintura en Puente Genil Córdoba,propietario,"",https://www.qdq.com/a/talleres-de-chapa-y-pintura/c%C3%B3rdoba/puente-genil,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Perez Chapa y Pintura - Puente Genil - Compara y Repara,propietario,"",https://comparayrepara.com/andalucia/cordoba/puente-genil/perez-chapa-y-pintura/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
Pintores profesionales en Puente Genil | Calidad precio,propietario,"",https://www.cronoshare.com/servicios/pintores/cordoba/puente-genil,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
TALLER DE CHAPA Y PINTURA ANTONIO ANGEL RIVAS,propietario,"",https://www.aiyellow.com/chapaypinturarivas/,"",,,,Sí,Sí,,No,No,,,"",No,No,"","","",""
MOVILTRACCION CHAPA Y PINTURA - Updated May 2026,propietario,"","","",,,,No,No,,No,No,,,"",No,No,"","","",""
