To,Subject,Campaign,Priority,Status
cv.de.latorre@hotmail.com,"🚀 Clínica Veterinaria de la Torre - Principal — Aparecer en Top 3 de Google",optimization,HIGH,pending
alaborda@unizar.es,"⚠️ Equipo humano | hospitalveterinario — Tu web NO es segura (HTTPS)",ssl_upgrade,HIGH,pending
administracion@colegioveterinariosmalaga.es,"📍 Centros Veterinarios — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
bulma@0.9.4,"📍 Clinica Veterinaria Plaza Villanueva de la Torre, Guadalajara — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
bulma@0.9.4,"📍 Clinica Veterinaria Plaza Villanueva de la Torre, Guadalajara — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
info@mascotaysalud.com,"📍 Clínicas Veterinarias – Mascota y Salud — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
info@mascotaysalud.com,"📍 Clínicas Veterinarias – Mascota y Salud — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
bootstrap@5.0.0-beta1,"📍 Protectora animales en Villanueva de la Torre — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
aos@2.3.1,"📍 Tablón anuncios | icoval.org — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
aos@2.3.1,"📍 citaveterinaria.es Veterinarios — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
info@dingonatura.com,"📍 Clínicas veterinarias — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
clivetplaza@yahoo.es,"📍 Instalaciones — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
info@elitetecnologiavet.es,"📍 Últimas instalaciones — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
eva@vetsos.es,"📍 Veterinario en Villanueva de la Cañada — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
eva@vetsos.es,"📍 Veterinario en Villanueva de la Cañada — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
magnific-popup@1.1.0,"📍 Don Gato — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
info@farmacias.es,"📍 Farmacias en Villanueva de La Torre abiertas ahora — Reclama tu perfil en Google Maps",gmb_claim,HIGH,pending
ba1786f289ac41ac899fd4fc59b2cff5@sentry.dev.ap,"📍 Clinica Veterinaria Plaza, Villanueva de la Torre — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
cucaraca@gmail.com,"📍 CENTROS VETERINARIOS — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info@gudog.com,"📍 Cuidado de perros en Villanueva de la Torre - Gudog — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info@gudog.com,"📍 Cuidado de perros en Villanueva de la Torre - Gudog — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
atencionalcliente@qdqmedia.com,"📍 clinicas-veterinarias en Villanueva De La Torre Guadalajara — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
collection@infegy.com,"📍 Residencias Caninas en Villanueva de la Torre — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info.vets@anicura.es,"📍 AniCura Vet's Sant Quirze Centre Veterinari — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
raulgarcia@unidadmovilveterinaria.com,"📍 Golden Clinica Veterinaria, Villanueva del Pardillo — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
somosvetsev@gmail.com,"📍 Clínicas Veterinarias en Sevilla Urgencias - SOMOSVET — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
adolfosendino@hotmail.com,"📍 Home Vets | Clínica Veterinaria de referencia en la Sierra de ... — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
clivetplaza@yahoo.es,"📍 Servicios — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
velazquez@anicura.es,"📍 AniCura Doctor Castelo Centro Veterinario — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
clivetplaza@yahoo.es,"📍 Aviso Legal — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
markerclusterer@2.5.3,"📍 Descubre nuestras tiendas de productos para animales | Kiwoko — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
info@mivet.com,"📍 Hospital Veterinario Málaga Este — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
cremamurlevante@cremamurlevante.com,"📍 Colaboradores — Reclama tu perfil en Google Maps",gmb_claim,MEDIUM,pending
